author_id	last_name	first_name	middle_initial
5004	Dausse	Eric	
5003	Andreola	Marie-Line	
5002	Pileur	Fr?d?ric	
5001	Remcho	Vincent	T
5000	Clark	Stacey	L
5005	Michel	Justine	
5006	Moreau	Serge	
5007	Yamada	Hirofumi	
5008	Gaidamakov	Sergei	A
5009	Crouch	Robert	J
5010	Toulm	Jean-Jacques	
5011	Cazenave	Christian	
5012	Tang	Jin	
5013	Breaker	Ronald	R
5014	Yu	Qiao	
5015	Pecchia	David	B
5016	Kingsley	Sarah	L
5017	Heckman	Joyce	E
5018	Burke	John	M
5019	Koizumi	Makoto	
5020	Soukup	Garrett	A
5021	Kerr	Jonita	Q
5022	Breaker	Ronald	R
5023	Lorsch	Jon	R
5024	Szostak	Jack	W
5025	Li	Jing	
5026	Zheng	Wenchao	
5027	Kwon	Angela	H
5028	Lu	Yi	
5029	Vaish	Narendra	K
5030	Heaton	Paul	A
5031	Fedorova	OlGa	
5032	Eckstein	Fritz	
5033	Faulhammer	Dirk	
5034	Famulok	Michael	
5035	Vaish	Narendra	K
5036	Heaton	Paul	A
5037	Eckstein	Fritz	
5038	Tang	Jin	
5039	Breaker	Ronald	R
5040	Robertson	Michael	P
5041	Ellington	Andrew	D
5042	Piganeau	Nicolas	
5043	Thuillier	Vincent	
5044	Famulok	Michael	
5045	Kawazoe	Naoki	
5046	Teramoto	Naozumi	
5047	Ichinari	Hisashi	
5048	Imanishi	Yukio	
5049	Ito	Yoshihiro	
5050	Mobley	Evelyn	M
5051	Pan	Tao	
5052	Jadhav	Vasant	R
5053	Yarus	Michael	
5054	Lato	Susan	M
5055	Boles	Amy	R
5056	Ellington	Andrew	D
5057	Huang	Zhen	
5058	Szostak	Jack	W
5059	Flinders	Jeremy	
5060	DeFina	Steven	C
5061	Brackett	David	M
5062	Baugh	Chris	
5063	Wilson	Charles	
5064	Dieckmann	Thorsten	
5065	Daniels	Dion	A
5066	Chen	Hang	
5067	Hicke	Brian	J
5068	Swiderek	Kristine	M
5069	Gold	Larry	
5070	Nickens	David	G
5071	Patterson	James	T
5072	Burke	Donald	H
5073	Conrad	Richard	
5074	Keranen	Lisa	M
5075	Ellington	Andrew	D
5076	Newton	Alexandra	C
5077	Conrad	Richard	
5078	Ellington	Andrew	D
5079	Roychowdhury-Saha	Manami	
5080	Lato	Susan	M
5081	Shank	Eric	D
5082	Burke	Donald	H
5083	Masud	Mohammad	M
5084	Kuwahara	Masayasu	
5085	Ozaki	Hiroaki	
5086	Sawai	Hiroaki	
5087	Saran	Dayal	
5088	Frank	Joseph	
5089	Burke	Donald	H
5090	Lin	Yun	
5091	Jayasena	Sumedha	
5092	Jeong	Sunjoo	
5093	Eom	Tae-Yeon	
5094	Kim	Se-Jin	
5095	Lee	Seong-Wook	
5096	Yut	Jaehoon	
5097	Hale	Stephen	P
5098	Schimmel	Paul	
5099	Geiger	Albert	
5100	Burgstaller	Petra	
5101	von	Herbert	
5102	Roeder	Albert	
5103	Famulok	Michael	
5104	Brockstedt	Ulrike	
5105	Uzarowska	Anna	
5106	Montpetit	Alexandre	
5107	Pfau	Wolfgang	
5108	Labuda	Damian	
5109	Vaish	Narendra	K
5110	Larralde	Rosa	
5111	Fraley	Andrew	W
5112	Szostak	Jack	W
5113	McLaughlin	Larry	W
5114	Liu	Xuemei	
5115	Zhang	Dajin	
5116	Guojun	Cao	
5117	Yang	Guang	
5118	Ding	Hongmei	
5119	Liu	Gang	
5120	Fan	Ming	
5121	Shen	Beifen	
5122	Shao	Nihgsheng	
5123	King	David	J
5124	Bassett	Suzanne	E
5125	Li	Xin	
5126	Fennewald	Susan	A
5127	Herzog	Norbert	K
5128	Luxon	Bruce	A
5129	Shope	Robert	
5130	Gorenstein	David	G
5131	Daniels	Dion	A
5132	Sohal	Anwinder	K
5133	Rees	Stephen	
5134	Grisshammer	Reinhard	
5135	Chen	Chi-hong	
5136	Chernis	George	A
5137	Hoang	Van	Q
5138	Landgraf	Ralf	
5139	Vuyisich	Momchilo	
5140	Beal	Peter	A
5141	Wang	Chenglong	
5142	Zhang	Ming	
5143	Yang	Guang	
5144	Zhang	Dajing	
5145	Ding	Hongmei	
5146	Wang	Huixing	
5147	Fan	Ming	
5148	Shen	Beifen	
5149	Shao	Nigsheng	
