publication_id	journal_name	year	volume	issue	pages	title	medline_id	pubmed_id	authors
3005	Nature.	1994	371	6492	31-6	In vitro evolution of new ribozymes with polynucleotide kinase activity		7521014	Jon R. Lorsch, Jack W. Szostak
3004	Nat. Struct. Biol	1999	6	11	1062-71	Allosteric selection of ribozymes that respond to the second messengers cGMPand cAMP		10542100	Makoto Koizumi, Garrett A. Soukup, Jonita Q. Kerr, Ronald R. Breaker
3002	Chem Biol.	1997	4	6	453-9	Rational design of allosteric ribozymes		9224568	Tang J, Breaker RR.
3003	J Biol Chem.	1998	273	36	23524-33	Cleavage of highly structured viral RNA molecules by combinatorial libraries of hairpin ribozymes. The most effective ribozymes are not predicted by substrate selection rules.		9722591	Qiao Yu, David B. Pecchia, Sarah L. Kingsley, Joyce E. Heckman, John M. Burke
3001	Nucleic Acids Res.	2003	31	19	5776-88	Selective inhibitory DNA aptamers of the human RNase H1		14500841	Pileur F, Andreola ML, Dausse E, Michel J, Moreau S, Yamada H, Gaidamakov SA, Crouch RJ, Toulme JJ, Cazenave C.
3000	Anal. Chem.	2003	75	21	5692 - 5696	Electrochromatographic Retention Studies on a Flavin-Binding RNA Aptamer Sorbent		14588007	Stacey L. Clark and Vincent T. Remcho
3006	Nucleic Acids Res.	2000	28	2	481-8	In vitro selection and characterization of a highly efficient Zn(II)-dependent RNA-cleaving deoxyribozyme.		10606646	Jing Li, Wenchao Zheng, Angela H. Kwon, Yi Lu
3007	PNAS	1998	95	5	2158-62	In vitro selection of a purine nucleotide-specific hammerheadlike ribozyme.		9482855	Narendra K. Vaish, Paul a. Heaton, OlGa Fedorova, Fritz Eckstein
3008	J Mol Biol.	1997	269	2	188-202	Characterization and divalent metal-ion dependence of in vitro selected deoxyribozymes which cleave DNA/RNA chimeric oligonucleotides.		9191064	Dirk Faulhammer, Michael Famulok
3009	Biochemistry	1997	36	21	6495-501	Isolation of hammerhead ribozymes with altered core sequences by in vitro selection.		9174367	Narendra K. Vaish, Paul a. Heaton, Fritz Eckstein
3010	Proc Natl Acad Sci U S A.	2000	97	11	5784-9	Structural diversity of self-cleaving ribozymes.		10823936	Jin Tang, Ronald R. Breaker
3011	Nature Biotechnology	1999	17	1	62-6	In vitro selection of an allosteric ribozyme that transduces analytes to amplicons.		9920271	Michael P. Robertson, Andrew D. Ellington
3012	J Mol Biol	2001	312	5	1177-90	In vitro selection of allosteric ribozymes: theory and experimental validation.		11580234	Nicolas Piganeau, Vincent Thuillier, Michael Famulok
3013	Biomacromolecules	2001	2	3	681-6	In vitro selection of nonnatural ribozyme-catalyzing porphyrin metalation.		11710021	Naoki Kawazoe, Naozumi Teramoto, Hisashi Ichinari, Yukio Imanishi, Yoshihiro Ito
3014	Nucleic Acids Res.	1999	27	21	4298-304	Design and isolation of ribozyme-substrate pairs using RNase P-based ribozymes containing altered substrate binding sites.		10518624	Evelyn M. Mobley, Tao Pan
3015	Biochemistry	2001	41	3	723-9	Acyl-CoAs from coenzyme ribozymes		11790093	Vasant R. Jadhav, Michael Yarus
3016	Chem. Biol.	1995	2	5	291-303	In vitro selection of RNA lectins: using combinatorial chemistry to interpret ribozyme evolution		9383431	Susan M. Lato, Amy R. Boles, Andrew D. Ellington
3017	 RNA	2003	9	12	1456-63	Evolution of aptamers with a new specificity and new secondary structures from an ATP aptamer.		14624002	Zhen Huang, Jack W. Szostak
3018	Chembiochem	2004	5	1	 62-72	Recognition of planar and nonplanar ligands in the malachite green-RNA aptamer complex.		14695514	Jeremy Flinders, Steven C. DeFina, David M. Brackett, Chris Baugh, Charles Wilson, Thorsten Dieckmann
3019	PNAS	2003	100	26	15416-21	A tenascin-C aptamer identified by tumor cell SELEX: systematic evolution of ligands by exponential enrichment.		14676325	Dion A. Daniels, Hang Chen, Brian J. Hicke, Kristine M. Swiderek, Larry Gold
3020	RNA	2003	9	9	1029-1033	Inhibition of HIV-1 reverse transcriptase by RNA aptamers in Escherichia coli.		12923252	David G. Nickens, James T. Patterson, Donald H. Burke
3021	J. Biol. Chem	1994	269	51	32051-4	Isozyme-specific inhibition of protein kinase C by RNA aptamers.		7528207	Richard Conrad, Lisa M. Keranen, Andrew D. Ellington, Alexandra C. Newton
