target_id	target_name	target_cat
4002	ATP	nucleic
4001	RNase H1	protein
4000	Flavin mononucleotide (FMN) and Flavin adenine dinucleotide FAD	nucleic
4003	26 S subgenomic RNA of Sindbis virus	peptide
4004	cGMP and cAMP	nucleic
4005	ATP (target will give the aptazyme polynucleotide kinase activity)	organic
4006	Zinc 2+(cleaves RNA)	inorganic
4007	intramolecular AUG cleavage	nucleic
4008	Divalent cations Mg2+	inorganic
4009	testing for cleavage activity	protein
4010	Mg2+ self cleaving ribozymes	inorganic
4011	ATP	organic
4012	pefloxacin (for self cleaving)	organic
4013	Porphyrin Metalation	organic
4014	pre-tRNA to confer cleavage	nucleic
4015	Coenzyme A (CoAs)	organic
4016	kanamycin and lividomycin	peptide
4017	morpholine based GTP (MBGT)	nucleic
4018	malachite green	organic
4019	Tenascin C	protein
4020	HIV reverse transcriptase (RT)	protein
4021	Protein kinase C	protein
4022	Protein kinase C	protein
4023	Flavin adenine dinucleotide FAD	nucleic
4024	Sialyllactose	other
4025	coenzyme A	organic
4026	Taq polymerase	protein
4027	Sialyl lewis X	organic
4028	tRNA synthetase	protein
4029	L-arginine	organic
4030	methylenedianiline (MDA)	organic
4031	ATP	nucleic
4032	Bovine thrombin	protein
4033	NF-kB p65 and p50	protein
4034	NTS-1	protein
4035	human epidermal growth factor receptor 3	protein
4036	formamidopyrimidine glycosylase (Fpg), neomycin	other
4037	PC12 cells	other
