C.3 C
C.2 C
C.1 C
C.ar C
C.cat C
N.3 N
N.2 N
N.1 N
N.ar N
N.pl3 N
N.4 N
O.3 O
O.2 O
O.co2 O
O.spc O
O.t3p O
S.3 S
S.2 S
S.O S
S.O2 S
P.3 P
H H
H.spc H
H.t3p H
F F
Cl Cl
Br Br
I I
Si Si
LP LP
Du Du
DU DU
Na Na
K K
Ca Ca
Li Li
Al Al
Any Any
Hal Hal
Het Het
Hev Hev
hc H
ha H
hn H
ho H
hp H
hs H
hw H
hx H
h1 H
h2 H
h3 H
h4 H
h5 H
f  F
cl Cl
br Br
i  I
c3 C
c2 C
c1 C
c  C
ca C
cc C
cd C
ce C
cf C
cg C
ch C
cp C
cq C
cu C
cv C
cx C
cy C
cz C
n  N
n1 N
n2 N
n3 N
n4 N
na N
nb N
nc N
nd N
ne N
nf N
nh N
no N
o  O
oh O
os O
ow O
s  S
s2 S
s4 S
s6 S
ss S
sh S
sx S
sy S
p2 P
p3 P
p4 P
p5 P
pb P
pc P
pd P 
pe P
pf P
px P
py P
C  C
CA C
CB C
CC C
CD C 
CK C 
CM C 
CN C 
CQ C 
CR C 
CT C 
CV C 
CW C 
C* C 
CY C 
CZ C 
C1 C 
H  H 
HO H 
HS H 
HP H 
HA H
HC H
H1 H
H2 H
H3 H
H4 H
H5 H
N  N
NA N
NB N
NC N
N2 N
N3 N
NT N
N* N
NY N
O  O
O2 O
OW O
OH O
OS O
P  P
S  S
SH S
